w_connect,w_block,w_center,win_rate_vs_random,wins_vs_random,losses_vs_random,draws_vs_random,avg_turns_win_vs_random,avg_turns_loss_vs_random,win_rate_vs_intuitive_gamer,wins_vs_intuitive_gamer,losses_vs_intuitive_gamer,draws_vs_intuitive_gamer,avg_turns_win_vs_intuitive_gamer,avg_turns_loss_vs_intuitive_gamer,win_rate_vs_mcts,wins_vs_mcts,losses_vs_mcts,draws_vs_mcts,avg_turns_win_vs_mcts,avg_turns_loss_vs_mcts
0.0,1.4,0.4,0.74,37,9,4,7.54,7.56,0.44,22,27,1,7.36,6.15,0.12,6,37,7,6.33,6.86
0.0,1.4,0.6,0.7,35,12,3,7.0,7.17,0.44,22,27,1,7.0,6.22,0.02,1,41,8,5.0,6.83
0.0,1.4,0.8,0.52,26,21,3,7.69,7.43,0.36,18,28,4,7.67,6.79,0.04,2,40,8,5.0,6.55
0.0,1.4,1.0,0.66,33,14,3,7.12,7.0,0.5,25,22,3,7.48,6.45,0.06,3,42,5,7.0,6.76
0.0,1.4,1.2,0.56,28,12,10,7.21,7.17,0.36,18,26,6,7.89,6.62,0.14,7,31,12,6.43,6.84
0.0,1.4,1.4,0.68,34,10,6,7.47,7.6,0.42,21,26,3,7.29,6.62,0.1,5,29,16,5.8,6.48
0.0,1.4,1.6,0.7,35,13,2,7.34,7.38,0.36,18,25,7,7.44,7.04,0.06,3,38,9,7.67,6.89
0.0,1.4,1.8,0.62,31,14,5,7.39,7.57,0.38,19,23,8,7.74,6.87,0.06,3,38,9,6.33,7.0
0.0,1.4,2.0,0.74,37,9,4,7.16,7.78,0.36,18,26,6,7.11,6.62,0.08,4,39,7,6.5,6.72
0.0,1.6,0.0,0.72,36,8,6,6.72,7.0,0.26,13,32,5,7.92,6.06,0.14,7,38,5,6.43,6.84
0.0,1.6,0.2,0.62,31,10,9,7.26,7.6,0.34,17,29,4,7.24,6.21,0.12,6,40,4,7.0,6.65
0.0,1.6,0.4,0.7,35,11,4,7.4,7.64,0.36,18,29,3,7.44,6.69,0.02,1,37,12,5.0,6.92
0.0,1.6,0.6,0.5,25,15,10,7.56,7.2,0.32,16,30,4,8.25,6.53,0.02,1,38,11,7.0,6.79
0.0,1.6,0.8,0.44,22,23,5,7.45,7.57,0.36,18,28,4,7.44,6.5,0.04,2,40,8,6.0,6.75
0.0,1.6,1.0,0.62,31,12,7,7.45,7.5,0.36,18,28,4,8.22,6.5,0.06,3,39,8,7.67,6.67
0.0,1.6,1.2,0.62,31,15,4,7.39,7.73,0.38,19,29,2,7.42,6.62,0.1,5,33,12,7.4,6.79
0.0,1.6,1.4,0.64,32,13,5,7.19,6.92,0.48,24,21,5,7.5,6.57,0.18,9,32,9,6.33,6.75
0.0,1.6,1.6,0.64,32,10,8,7.44,7.6,0.36,18,26,6,7.33,6.38,0.06,3,40,7,6.33,6.9
0.0,1.6,1.8,0.7,35,9,6,7.06,7.56,0.28,14,28,8,8.0,6.79,0.14,7,35,8,5.86,6.86
0.0,1.6,2.0,0.54,27,16,7,7.44,7.25,0.42,21,22,7,7.0,7.36,0.16,8,35,7,6.75,6.91
0.0,1.8,0.0,0.38,19,23,8,7.63,7.39,0.4,20,25,5,7.0,6.8,0.08,4,41,5,6.0,6.78
0.0,1.8,0.2,0.62,31,10,9,7.26,7.0,0.34,17,30,3,7.59,6.33,0.08,4,38,8,6.5,6.79
0.0,1.8,0.4,0.56,28,17,5,7.43,7.18,0.32,16,32,2,7.75,6.44,0.04,2,42,6,7.0,7.0
0.0,1.8,0.6,0.5,25,16,9,7.16,7.5,0.36,18,28,4,7.33,6.43,0.08,4,38,8,6.5,7.21
0.0,1.8,0.8,0.66,33,12,5,7.55,7.83,0.24,12,35,3,7.33,6.23,0.12,6,42,2,6.67,6.95
0.0,1.8,1.0,0.74,37,8,5,7.49,7.0,0.32,16,33,1,7.25,6.42,0.06,3,42,5,5.67,6.86
0.0,1.8,1.2,0.6,30,13,7,7.4,6.77,0.32,16,32,2,7.5,6.56,0.04,2,46,2,7.0,6.87
0.0,1.8,1.4,0.72,36,11,3,7.0,7.82,0.28,14,33,3,7.71,6.79,0.04,2,39,9,8.0,6.82
0.0,1.8,1.6,0.7,35,8,7,7.4,7.5,0.44,22,24,4,8.09,6.75,0.08,4,40,6,6.0,6.65
0.0,1.8,1.8,0.58,29,13,8,7.48,7.23,0.32,16,27,7,7.5,6.74,0.14,7,30,13,5.86,6.73
0.0,1.8,2.0,0.68,34,11,5,7.0,6.91,0.36,18,29,3,7.22,6.62,0.16,8,36,6,5.75,6.89
0.0,2.0,0.0,0.58,29,12,9,7.69,8.0,0.32,16,33,1,7.5,6.48,0.14,7,35,8,6.43,6.91
0.0,2.0,0.2,0.5,25,13,12,7.32,7.38,0.44,22,25,3,7.18,6.4,0.16,8,37,5,6.25,7.24
0.0,2.0,0.4,0.64,32,10,8,7.81,7.2,0.3,15,28,7,7.67,6.57,0.06,3,46,1,6.33,6.57
0.0,2.0,0.6,0.6,30,12,8,7.13,7.67,0.26,13,33,4,7.15,6.36,0.04,2,35,13,5.0,6.8
0.0,2.0,0.8,0.64,32,12,6,7.5,7.5,0.42,21,25,4,7.0,6.48,0.08,4,41,5,6.0,6.93
0.0,2.0,1.0,0.68,34,11,5,6.82,7.45,0.46,23,23,4,7.17,6.43,0.06,3,40,7,6.33,6.7
0.0,2.0,1.2,0.66,33,13,4,7.42,7.23,0.44,22,24,4,7.82,6.67,0.08,4,40,6,6.0,7.0
0.0,2.0,1.4,0.56,28,15,7,7.64,7.07,0.38,19,24,7,7.63,7.17,0.04,2,42,6,7.0,6.76
0.0,2.0,1.6,0.58,29,14,7,7.41,7.0,0.36,18,25,7,7.56,6.96,0.04,2,39,9,6.0,6.77
0.0,2.0,1.8,0.7,35,9,6,7.4,7.33,0.32,16,29,5,7.38,7.1,0.14,7,33,10,5.57,6.73
0.0,2.0,2.0,0.7,35,12,3,7.11,7.5,0.26,13,32,5,7.92,6.94,0.08,4,36,10,6.5,7.0
0.2,0.0,0.0,0.68,34,9,7,7.29,7.78,0.36,18,27,5,6.89,6.3,0.06,3,37,10,5.67,6.97
0.2,0.0,0.2,0.66,33,11,6,7.36,7.27,0.38,19,27,4,7.0,6.37,0.12,6,40,4,6.0,7.0
0.2,0.0,0.4,0.6,30,14,6,7.73,7.0,0.58,29,19,2,7.07,6.53,0.14,7,35,8,6.43,6.74
0.2,0.0,0.6,0.8,40,7,3,7.05,7.71,0.38,19,29,2,6.79,6.41,0.14,7,37,6,6.43,6.92
0.2,0.0,0.8,0.52,26,13,11,7.15,7.08,0.42,21,25,4,6.9,6.4,0.06,3,39,8,5.67,6.87
0.2,0.0,1.0,0.66,33,12,5,7.24,7.17,0.42,21,27,2,6.9,6.15,0.12,6,36,8,6.33,6.78
0.2,0.0,1.2,0.68,34,8,8,6.65,7.25,0.46,23,26,1,6.65,6.54,0.14,7,34,9,6.14,6.65
0.2,0.0,1.4,0.7,35,9,6,7.17,7.56,0.54,27,22,1,7.07,6.64,0.1,5,34,11,6.2,7.0
0.2,0.0,1.6,0.68,34,11,5,6.76,6.91,0.52,26,22,2,6.85,6.36,0.12,6,37,7,6.0,6.92
0.2,0.0,1.8,0.82,41,4,5,6.56,8.0,0.46,23,24,3,6.65,6.33,0.08,4,38,8,6.5,6.63
0.2,0.0,2.0,0.7,35,9,6,6.66,7.33,0.6,30,17,3,7.07,6.47,0.12,6,32,12,5.33,6.88
0.2,0.2,0.0,0.56,28,16,6,7.36,7.25,0.38,19,26,5,6.47,6.69,0.1,5,42,3,5.4,7.0
0.2,0.2,0.2,0.6,30,11,9,7.33,6.91,0.44,22,26,2,7.0,6.62,0.06,3,38,9,7.0,6.74
0.2,0.2,0.4,0.58,29,12,9,7.0,7.0,0.52,26,21,3,7.31,6.29,0.02,1,43,6,5.0,6.74
0.2,0.2,0.6,0.7,35,11,4,6.77,7.27,0.32,16,30,4,7.38,6.2,0.06,3,41,6,5.67,6.93
0.2,0.2,0.8,0.66,33,11,6,6.82,6.73,0.48,24,26,0,7.0,6.31,0.06,3,44,3,6.33,6.86
0.2,0.2,1.0,0.76,38,8,4,7.26,7.0,0.54,27,21,2,7.3,6.29,0.12,6,34,10,5.33,6.76
0.2,0.2,1.2,0.64,32,12,6,7.12,7.33,0.42,21,28,1,7.19,6.5,0.12,6,36,8,5.67,6.78
0.2,0.2,1.4,0.72,36,8,6,6.83,7.0,0.52,26,22,2,7.38,6.64,0.16,8,30,12,6.5,6.8
0.2,0.2,1.6,0.74,37,8,5,6.95,7.0,0.62,31,18,1,7.19,6.11,0.14,7,32,11,6.43,6.5
0.2,0.2,1.8,0.72,36,8,6,6.94,7.0,0.54,27,21,2,7.0,6.57,0.16,8,29,13,6.0,7.03
0.2,0.2,2.0,0.78,39,5,6,6.59,6.8,0.52,26,22,2,6.92,6.55,0.18,9,28,13,6.11,7.07
0.2,0.4,0.0,0.74,37,10,3,7.16,7.2,0.48,24,23,3,7.0,6.26,0.12,6,35,9,6.0,6.8
0.2,0.4,0.2,0.6,30,15,5,7.27,7.33,0.46,23,23,4,6.91,6.35,0.1,5,38,7,7.4,6.79
0.2,0.4,0.4,0.64,32,10,8,6.94,7.0,0.58,29,19,2,6.93,6.21,0.12,6,36,8,6.33,6.89
0.2,0.4,0.6,0.68,34,12,4,6.29,6.83,0.46,23,24,3,7.0,6.25,0.16,8,36,6,6.25,6.67
0.2,0.4,0.8,0.68,34,10,6,6.76,7.8,0.5,25,25,0,7.16,6.64,0.08,4,41,5,6.0,7.02
0.2,0.4,1.0,0.74,37,8,5,6.51,7.0,0.44,22,23,5,7.45,6.26,0.12,6,36,8,6.67,7.0
0.2,0.4,1.2,0.68,34,13,3,7.41,6.92,0.42,21,26,3,7.0,6.31,0.12,6,36,8,6.0,6.72
0.2,0.4,1.4,0.68,34,8,8,7.0,7.5,0.54,27,20,3,6.93,6.3,0.1,5,32,13,5.8,7.0
0.2,0.4,1.6,0.78,39,6,5,6.79,7.0,0.52,26,20,4,6.92,6.7,0.1,5,38,7,6.2,6.74
0.2,0.4,1.8,0.74,37,10,3,6.89,7.4,0.62,31,16,3,7.39,6.75,0.16,8,32,10,6.75,6.56
0.2,0.4,2.0,0.78,39,6,5,6.79,7.67,0.62,31,15,4,7.06,6.8,0.14,7,31,12,6.14,6.52
0.2,0.6,0.0,0.68,34,11,5,7.24,7.09,0.52,26,23,1,6.69,6.52,0.14,7,35,8,6.14,6.69
0.2,0.6,0.2,0.62,31,13,6,6.94,7.69,0.54,27,22,1,6.48,6.27,0.06,3,43,4,6.33,6.88
